Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
2E:37:4B:88:D5:A7, 2023-10-23 16:48:15, 2023-10-23 21:17:28, -92,       21, (not associated) ,italo
DA:A1:19:A4:A4:A4, 2023-10-23 17:13:52, 2023-10-23 17:13:52, -73,        4, (not associated) ,
EA:48:B8:08:78:86, 2023-10-23 17:22:16, 2023-10-24 04:11:40,  -1,        6, 18:35:D1:7F:3C:F1,
12:07:B4:8B:7A:EC, 2023-10-23 17:36:37, 2023-10-23 17:36:37, -89,        1, (not associated) ,
5E:DC:96:2A:6A:03, 2023-10-23 17:37:19, 2023-10-24 01:40:49, -54,       38, (not associated) ,DIRECT-
DA:A1:19:74:74:74, 2023-10-23 17:38:13, 2023-10-23 17:38:13, -68,        3, (not associated) ,
5E:DC:96:2A:EA:03, 2023-10-23 17:43:14, 2023-10-23 17:47:52, -52,       21, A6:9B:4F:D8:AB:E3,
DA:A1:19:5E:A6:42, 2023-10-23 17:56:34, 2023-10-23 18:14:41, -65,       41, (not associated) ,
BC:9E:BB:EA:34:21, 2023-10-23 17:58:21, 2023-10-24 04:00:54, -72,        5, CC:D7:3C:FB:A5:D4,
96:0B:1C:F2:07:30, 2023-10-23 18:20:40, 2023-10-23 18:20:40, -87,        1, (not associated) ,
92:6A:F3:4C:D8:03, 2023-10-23 18:22:30, 2023-10-23 18:22:30, -87,        1, (not associated) ,
DA:A1:19:9C:12:D7, 2023-10-23 18:22:36, 2023-10-23 18:22:36, -72,       10, (not associated) ,
DA:A1:19:80:33:79, 2023-10-23 18:28:49, 2023-10-23 18:28:54, -73,       16, (not associated) ,
BC:2E:F6:6A:98:50, 2023-10-23 18:31:48, 2023-10-24 00:18:13, -87,        3, F8:D2:AC:45:47:10,
2E:18:09:19:69:6C, 2023-10-23 18:36:43, 2023-10-23 18:36:43, -86,        1, (not associated) ,
76:B4:17:66:C1:AE, 2023-10-23 18:39:50, 2023-10-23 18:40:10, -85,        2, (not associated) ,
92:6C:73:BC:AD:1C, 2023-10-23 19:03:41, 2023-10-23 19:03:41, -102,        2, (not associated) ,
5E:D1:1D:C3:67:61, 2023-10-23 19:05:25, 2023-10-23 19:05:25, -95,        1, (not associated) ,
5A:2A:55:28:50:18, 2023-10-23 19:09:01, 2023-10-23 19:09:01, -87,        1, (not associated) ,
92:79:A1:CA:0D:F2, 2023-10-23 19:12:31, 2023-10-23 19:12:31, -89,        2, (not associated) ,
DA:A1:19:DD:3A:E3, 2023-10-23 19:17:12, 2023-10-24 03:13:13, -77,       59, (not associated) ,
94:A4:08:12:D5:AB, 2023-10-23 19:22:11, 2023-10-23 23:29:30, -112,        2, (not associated) ,Guayana
D0:05:2A:6F:BD:2E, 2023-10-23 19:29:39, 2023-10-23 23:21:58, -90,        3, (not associated) ,
C2:71:E7:57:23:68, 2023-10-23 20:00:46, 2023-10-23 20:00:46, -88,        3, (not associated) ,
EA:9D:98:64:53:27, 2023-10-23 20:03:03, 2023-10-23 20:03:03, -89,        2, (not associated) ,
DA:A1:19:57:83:3F, 2023-10-23 20:10:36, 2023-10-23 20:13:02, -90,        3, (not associated) ,
62:DB:2E:38:17:90, 2023-10-23 20:24:22, 2023-10-23 20:24:22, -90,        1, (not associated) ,
A6:64:8D:5A:13:FE, 2023-10-23 20:35:02, 2023-10-23 20:35:02, -89,        2, (not associated) ,
3C:61:05:F1:61:1A, 2023-10-23 20:49:24, 2023-10-24 03:50:52, -112,        7, (not associated) ,moduletest
E8:D0:FC:27:B3:35, 2023-10-23 21:11:27, 2023-10-24 04:51:45, -79,       84, F8:D2:AC:45:47:10,
3E:0B:D6:56:E4:54, 2023-10-23 21:15:53, 2023-10-23 21:15:53, -86,        2, (not associated) ,
